country,description,designation,points,province,taster_name,taster_twitter_handle,title,variety,winery
France,"A powerful, classic Chambertin, intensely structured and tannic. The sweet black fruit is potentially enormous, still finding its place among the tannins. Spice, with a mineral streak, gives the wine added complexity. Very dense in texture, this will age 10 years and many more.",Chambertin,95,Burgundy,Roger Voss,@vossroger,Domaine Jacques Prieur 2009 Chambertin  (Chambertin),Pinot Noir,Domaine Jacques Prieur
France,"A structured wine, with great density of fruit, richness of  texture and at the same time acidity. Its black fruit and red berry flavors are pure and very linear while also giving the wine a full-bodied character.",Echézeaux,95,Burgundy,Roger Voss,@vossroger,Domaine Jacques Prieur 2009 Echézeaux  (Echézeaux),Pinot Noir,Domaine Jacques Prieur
France,"A sumptuous wine, rich in bright red fruits, with a structure and depth of flavor to match. The wine is gorgeously ripe, opening its heart quickly. Acidity, bitter chocolate and dark cherries go with the tannic core to promise long aging.",Musigny,96,Burgundy,Roger Voss,@vossroger,Domaine Jacques Prieur 2009 Musigny  (Musigny),Pinot Noir,Domaine Jacques Prieur
France,"Here is an ageworthy wine, a proper grand cru. The spice from the wood is the dominant factor to begin with, and this needs more time to integrate. But already, the fruit is impressively ripe and jammy, a fruit salad of black and red berry fruits. The tannins are dark, brooding away in the background. Keep this wine at least five years, probably 10.",Echézeaux du Dessus,95,Burgundy,Roger Voss,@vossroger,Domaine Jayer-Gilles 2006 Echézeaux du Dessus  (Echézeaux),Pinot Noir,Domaine Jayer-Gilles
France,"Here is a superbly rich and smooth wine. Aromas of violets and flavors of blueberries and red cherries along with dusty tannins, give this wine both immediate appeal and the promise of a good long-term future.",La Landonne,95,Rhône Valley,Roger Voss,@vossroger,Domaine Jean-Michel Gerin 1999 La Landonne  (Côte Rôtie),Rhône-style Red Blend,Domaine Jean-Michel Gerin
France,"This is taut and mineral, with hidden power. It's very closed at this stage. It's a wine with acidity and notes of green fruits and crisp apples, with just a touch of wood. This will age for many years.",Les Clos Grand Cru,95,Burgundy,Roger Voss,@vossroger,Domaine Jean-Paul et Benoît Droin 2010 Les Clos Grand Cru  (Chablis),Chardonnay,Domaine Jean-Paul et Benoît Droin
France,"This rich, generous and soft wine has a ripe feel along with plenty of acidity. The freshness is cushioned by ripe yellow and pear fruit flavors. It has power as well as minerality, and a touch of toast comes through at the end. Drink from 2018.",Grenouilles Grand Cru,95,Burgundy,Roger Voss,@vossroger,Domaine Jean-Paul et Benoît Droin 2013 Grenouilles Grand Cru  (Chablis),Chardonnay,Domaine Jean-Paul et Benoît Droin
France,"This young wine is all magnificent structure. It is intense, with fruit and acidity given richness by the powerful texture and tense tannins. The dense symphony of ripe fruits is kept in check by the structure. This wine needs many years; drink from 2019.",Les Clos Grand Cru,97,Burgundy,Roger Voss,@vossroger,Domaine Jean-Paul et Benoît Droin 2013 Les Clos Grand Cru  (Chablis),Chardonnay,Domaine Jean-Paul et Benoît Droin
France,"Mineral and flinty at the start, this young wine has an intense structure. Tannins and fruit skins give a strong, tight texture. At the same time, the acidity is just as intense, crisp and juicy, tight and needing many years to develop. Drink from 2018.",Montée de Tonnerre Premier Cru,95,Burgundy,Roger Voss,@vossroger,Domaine Jean-Paul et Benoît Droin 2013 Montée de Tonnerre Premier Cru  (Chablis),Chardonnay,Domaine Jean-Paul et Benoît Droin
France,"Extra rich, ripe and round , this offers a full fruitiness that explodes in the mouth. Tannins and structure are all there, although the main thrust of this wine is the balance between this tension and the generous fruits that are developing. Drink from 2019.",Valmur Grand Cru,96,Burgundy,Roger Voss,@vossroger,Domaine Jean-Paul et Benoît Droin 2013 Valmur Grand Cru  (Chablis),Chardonnay,Domaine Jean-Paul et Benoît Droin
France,"This wine has weight, richness and an intense texture and structure that brings tannins and a firm background to the generous yellow fruits, ripe apples and crisp green plums. The wine is still very young, needing several years. Drink from 2019.",Vaudésir Grand Cru,96,Burgundy,Roger Voss,@vossroger,Domaine Jean-Paul et Benoît Droin 2013 Vaudésir Grand Cru  (Chablis),Chardonnay,Domaine Jean-Paul et Benoît Droin
France,"This is a very precise wine, steely and mineral. It has a smoky, flinty character that fits the image of an age-worthy Chablis. Under this texture lies the potential of delicious fruitiness, fresh and packed with sliced apple and quince flavors. Drink this wine from 2018.",Vaulorent Premier Cru,95,Burgundy,Roger Voss,@vossroger,Domaine Jean-Paul et Benoît Droin 2013 Vaulorent Premier Cru  (Chablis),Chardonnay,Domaine Jean-Paul et Benoît Droin
France,"This wine, from the Les Clos Grand Cru vineyard, is a flagship for Laroche. It is richer than the producer's regular Les Clos offering, bringing roundness and a fullness to the mineral, textured character. It's open, ripe although it needs aging. Drink from 2018.",La Réserve de l'Obédience Les Clos Grand Cru,95,Burgundy,Roger Voss,@vossroger,Domaine Laroche 2012 La Réserve de l'Obédience Les Clos Grand Cru  (Chablis),Chardonnay,Domaine Laroche
France,"This is a textured, steely wine with considerable acidity as much as fruit. Tight and with green apple and green plum characters, this structured wine has a salty, chalky texture. Tasting of the soil, it needs to age. Drink from 2018.",Les Blanchots Grand Cru,95,Burgundy,Roger Voss,@vossroger,Domaine Laroche 2012 Les Blanchots Grand Cru  (Chablis),Chardonnay,Domaine Laroche
France,"The wine comes from a parcel within the Bougros Grand Cru. It is tight, still very young although with weight and ripe apricot flavors. The density of the wine marks it out, its flavors running right through the texture. It finishes with fragrant, intense acidity. Drink from 2018.",Les Bougerots Grand Cru,95,Burgundy,Roger Voss,@vossroger,Domaine Laroche 2012 Les Bougerots Grand Cru  (Chablis),Chardonnay,Domaine Laroche
France,"This wine has weight, structure and richness. Spice comes from wood aging while the texture is concentrated and dense. It's powerful, full of apple and crisp pear flavors that are tight and firm. There is a dusty, almost tannic character to this powerful wine that is still young. Drink from 2018.",Les Clos Grand Cru,96,Burgundy,Roger Voss,@vossroger,Domaine Laroche 2012 Les Clos Grand Cru  (Chablis),Chardonnay,Domaine Laroche
France,"Named after the Laroche winery, L'Obédiencerie, this wine is a selection from the Blanchots Grand Cru vineyard. It is rich, but endowed with a taut minerality that cuts through the ripe green plum and crisp pear flavors. It demands aging. Drink from 2020.",La Réserve de l'Obédience Les Blanchots Grand Cru,95,Burgundy,Roger Voss,@vossroger,Domaine Laroche 2013 La Réserve de l'Obédience Les Blanchots Grand Cru  (Chablis),Chardonnay,Domaine Laroche
France,"A powerful wine, showing rich, opulent Chardonnay. The spice and acidity crispen the wine, but leave the powerful fruit in all its glory.",Les Pucelles Premier Cru,96,Burgundy,Roger Voss,@vossroger,Domaine Leflaive 2007 Les Pucelles Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive
France,"A fine, elegant wine, with balanced toast and acidity, great ripe apricot flavors along with spice from the toast, acidity, citrus and a hint of ginger. Still very young, this pure fruited wine could age over 6–10 years.",Les Pucelles Premier Cru,95,Burgundy,Roger Voss,@vossroger,Domaine Leflaive 2008 Les Pucelles Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive
France,"A taut, nervy, mineral-driven wine, this has intense citrus and grapefruit flavors, lemon grass spice and just the merest hint of wood. It's the structure that gives this impressive wine such power, and a steely edge that will need at least 6–10 years.",Clavoillon Premier Cru,95,Burgundy,Roger Voss,@vossroger,Domaine Leflaive 2010 Clavoillon Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive
France,"With its structured, mineral character, this is a serious, ageworthy wine. It has a sense of coiled power and steel and a dense, complex texture that brings out both its ripe, pure fruit character and its intensity. Age this wine for at least 5–8 years.",Les Combettes Premier Cru,95,Burgundy,Roger Voss,@vossroger,Domaine Leflaive 2010 Les Combettes Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive
France,"A rich wine, full and fruity up front, then opening up into a much more mineral, textured character. It is a great explosion of citrus, pear and green apple, the wood aging showing with subtlety. It's a wine for aging, complex and tight at the end.",Les Pucelles Premier Cru,95,Burgundy,Roger Voss,@vossroger,Domaine Leflaive 2010 Les Pucelles Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive
France,This is slowly developing into a beautiful wine. It dazzles with its combination of fresh acidity and generously ripe yellow-fruit flavors. The texture and structure give a steely edge to this impressive wine. Drink from 2020.,Les Clos Grand Cru,95,Burgundy,Roger Voss,@vossroger,Domaine Louis Moreau 2012 Les Clos Grand Cru  (Chablis),Chardonnay,Domaine Louis Moreau
France,"Lifted notes of dried pear, dried chamomile flowers and dried lemon peel have a strong impact. The palate comes in with lovely generous sweetness that amplifies that chamomile-tisane notion and boosts the dried-fruit notes. Against the distinctly medium-sweet fruitiness stands a clarion line of acidity. The evolution of fruit flavors weaves a colorful tapestry of aromas. This is carefully balanced and quietly intense. It holds immense strength at its core that radiates flavor and fruit. Made from a field blend of Alsace varieties, each adds something: aroma, texture, freshness and body. The finish is endless and very fruity. Have this with cheese or a subtle dessert. Drink now through 2035.",Altenberg de Bergheim Grand Cru,95,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Marcel Deiss 2009 Altenberg de Bergheim Grand Cru White (Alsace),Alsace white blend,Domaine Marcel Deiss
France,"The lifted nose seems like an amalgam of chalk and dried apples along with lemon zest. The aromas are reminiscent of evolving Riesling but this is not the only grape in this expressive and highly aromatic field blend. While there is distinct residual sweetness on the palate, this has a counterweight in the rich texture of the midpalate. There is something authentic and deeply comforting and satisfying at the core of this wine that says Alsace. It's impossible to put this wine into a box, it needs to be tasted and enjoyed on its very own terms. The finish is medium sweet, totally soil-driven and very, very long. This is an experience rather than a drink. Drink now through 2035.",Schoenenbourg Grand Cru,95,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Marcel Deiss 2011 Schoenenbourg Grand Cru White (Alsace),Alsace white blend,Domaine Marcel Deiss
France,"Hay flowers, honey and ripe yellow pear create an alluring nose. The palate adds even more fruit, with juicy mirabelle and peach carried by boost of residual sugar. This richness is aptly countered by lemon and tangerine zest. This joyful exuberant medium-sweet wine has a tightrope balance and incredibly deep and rich dimensions of fruit. The finish is lasting and pure. Drink 2017–2037.",Altenberg de Bergheim Grand Cru,95,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Marcel Deiss 2012 Altenberg de Bergheim Grand Cru White (Alsace),Alsace white blend,Domaine Marcel Deiss
France,"Deliciously heady notes of peach and chamomile immediately hit the nose, promising ripeness and aromatic riches. The palate does not disappoint, releasing even more of those wonderfully balm-like, aromatic flavors. It brightens them with wondrous lemon freshness and boosts them with a poised dose of residual sweetness. It's an unusual wine that does not really fit any category but sits in a delicious aromatic off-dry class of its own. The best option with this probably is cheese, but it will serve well as a philosopher's wine, savored on its own. It has enough depth and beauty to nourish sustained thought. Drink 2018–2035.",Schoenenbourg Grand Cru,96,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Marcel Deiss 2012 Schoenenbourg Grand Cru White (Alsace),Alsace white blend,Domaine Marcel Deiss
France,"Tannic and structured, chunky in style and texture. There are smoky flavors, acidity, berry fruits and black cherries as well as richness. There is a certain severity here, the wine passing through a firm stage before developing further complexity. Age for another six years.",Clos des Chênes Premier Cru,95,Burgundy,Roger Voss,@vossroger,Domaine Michel Lafarge 2006 Clos des Chênes Premier Cru  (Volnay),Pinot Noir,Domaine Michel Lafarge
France,"Utter generosity of both ripe and dried pear is immediately evident on the nose. Notions of sandalwood hover. The dry palate carries that same, generous fluidity at its deep core. There is immense concentration, shimmering with dried, fresh and cooked pear. But there also is a sense of earth, stone and fresh orange peel. The wine seems like a message from another world, , leading you beyond the physical, into a wold of contemplation. The finish lasts and lasts.",A360P Muenchberg Grand Cru,95,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Ostertag 2014 A360P Muenchberg Grand Cru Pinot Gris (Alsace),Pinot Gris,Domaine Ostertag
France,"Wonderful notions of ivy leaves, citrus peel and conifer greet the nose. The aromatic impression leads onto a slender, dry and fluid palate that still seems tightly coiled and closed. But those subtle aromatic hints and a concentrated, stony palate promise future pleasure. This will blossom into a perfumed marvel. Drink 2019–2030.",Muenchberg Grand Cru,95,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Ostertag 2014 Muenchberg Grand Cru Riesling (Alsace),Riesling,Domaine Ostertag
France,"A floral touch of honeysuckle plays spicily on the nose alongside aromatic Williams pear. The palate adds a sonorous and pleasant bitterness to this, reminiscent of fir honey, while the floral overtones of honeysuckle shimmer everywhere. There is quite some warmth and energy in this wine, smouldering at the very core. This is lovely now but is sure to last with all its brooding power. The finish is long and dry and returns to that pure note of Williams pear. Drink 2017–2035.",A360P Muenchberg Grand Cru,95,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Ostertag 2015 A360P Muenchberg Grand Cru Pinot Gris (Alsace),Pinot Gris,Domaine Ostertag
France,"The nose suggests utter generosity of ripe juicy pear fruit. The palate enforces this with rounded, aromatic and very pure notes of ripe Bartlett pear. The flavors are precisely drawn, framed by incisive freshness that corsets the richness and gives it a beautiful outline. There is barely concealed strength here and great energy. You can feel the warmth of the sun that ripened these lovely grapes. The finish is lasting and dry. Drink 2017—2030.",Fronholz,95,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Ostertag 2015 Fronholz Pinot Gris (Alsace),Pinot Gris,Domaine Ostertag
France,"Peach and tangerine unite to create an utterly seductive nose: luscious juicy flesh is defined by aromatic spice and zestiness. These opposites play off each other and create something that is alive and vigorous, joyful and precious. There is concentration and poise, structure and texture, but none of this concerns the hedonistic forces at play. They just want to express their careless exuberance. There is something defiant about this dry concentrated wine. Perhaps it is a welcome and encouraging counterweight to so much sadness in the world.",Fronholz,96,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Ostertag 2015 Fronholz Riesling (Alsace),Riesling,Domaine Ostertag
France,"A heady swirl of Amalfi lemon hits you right in the heart, if not the nose. The lemon notes become even more fully expressed on the taut but full, streamlined but expressive and dry body: they take the rich guise of lemon oil and candied peel. They are utterly tart and fresh but with that golden ripeness at their very core that makes this rather seductive. Taste buds just want to get to the bottom of this and rejoice in the purity and fruity tang. This is translucent and refreshing but also rich and full of delicious lemony vigor. The finish is lip-smacking. It will be hard to resist this, but this is certain to get even better. Drink now through 2035.",Heissenberg,95,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Ostertag 2015 Heissenberg Riesling (Alsace),Riesling,Domaine Ostertag
France,"There is something incredibly fruity and simultaneously tart on the nose: It is reminiscent of honeyed deaf nettle blossom as well as passion fruit. Wet stone and lemon heighten these perceptions even more. The palate comes in with concentrated zestiness—there almost is a sobering edge of bitter pith that pulls us towards the earth while the soaring lemon and grapefruit notes lift towards the light. This is fruitful promise and airy spirit, earthy depth and boundless richness. All this comes as a bundled force of joy, freshness and utter pleasure. That beguiling, lemony wet stone appears again on the dry intense finish of this elixir-like wine which perhaps has not only captured the light of the sun but that of the stars, too. Drink 2022–2040.",Muenchberg Grand Cru,97,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Ostertag 2015 Muenchberg Grand Cru Riesling (Alsace),Riesling,Domaine Ostertag
France,"Considered by many as the finest of the Grand Crus, Les Clos is steep, south-facing and impressive just to look at. Like many wines from this vineyard, this wine has immense power and concentration. It is rich, dense and full of tight but rich yellow and green fruits shot through with intense acidity. It is still very young and needs to be aged. Drink from 2019.",Les Clos Grand Cru,95,Burgundy,Roger Voss,@vossroger,Domaine Pascal Bouchard 2013 Les Clos Grand Cru  (Chablis),Chardonnay,Domaine Pascal Bouchard
France,"This intense, full-bodied wine is packed with ripe yellow fruits that are balanced with a powerful, concentrated texture. The wine is very young, with the toast and fruits full of energy and needing to round out. This complex wine will age. Drink from 2019.",Vaudésir Grand Cru,95,Burgundy,Roger Voss,@vossroger,Domaine Pascal Bouchard 2013 Vaudésir Grand Cru  (Chablis),Chardonnay,Domaine Pascal Bouchard
France,"Despite its power, this is so elegant, showing tannins, minerality and generous flavors of black fruits, dark chocolate and spices. The smooth and rich surface belies the inner taut texture, showing how the wine will need many years to finally come round.",Chambertin Clos de Bèze Grand Cru,96,Burgundy,Roger Voss,@vossroger,Domaine Perrot-Minot 2010 Chambertin Clos de Bèze Grand Cru  (Chambertin Clos de Bèze),Pinot Noir,Domaine Perrot-Minot
France,"There is something heady about this: a hint of chamomile tincture and pure lemon zest. The palate cuts in with uncompromising purity and zestiness—this really wants to showcase pure stone and tart citrus. There are glimpses, however, of plump ripe mirabelle plums and a touch of dried pear and quince. Nonetheless, this is governed by stern tanginess and thus is for real adults only. This is dry, slender and shows absolute focus. A celebration of stone and Riesling. Don't drink this now but wait: Drink 2020–2035.",Engelberg Grand Cru,95,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Pfister 2012 Engelberg Grand Cru Riesling (Alsace),Riesling,Domaine Pfister
France,"Fermented and aged in six-year old wood for 24 months, this is a richly spicy wine. The wood is there to smell and taste, but it is the rich fruit that speaks. Yellow fruits are given weight by the mineral backdrop, while layers of acidity instill freshness. Drink this complex wine from 2018.",Cuvée Authentique Les Clos Grand Cru,97,Burgundy,Roger Voss,@vossroger,Domaine Pinson 2012 Cuvée Authentique Les Clos Grand Cru  (Chablis),Chardonnay,Domaine Pinson
France,"From ripe fruits, in the Pinson style, this is a rich, generous and concentrated wine. There is great fruitiness from the ripe apricot and pear flavors, cut with acidity to give an edge of freshness. Spice and fragrant acidity mark the finish.",Fourchaume Premier Cru,95,Burgundy,Roger Voss,@vossroger,Domaine Pinson 2013 Fourchaume Premier Cru  (Chablis),Chardonnay,Domaine Pinson
France,"This wine brings out the structure inherent in this vineyard. Tensely textured with young fruits that have a touch of bitterness, the wine offers kiwi and green plum flavors given a more exotic character with some mango. It's a deeply structured wine that needs to age. Drink from 2018.",Les Clos Grand Cru,96,Burgundy,Roger Voss,@vossroger,Domaine Pinson 2013 Les Clos Grand Cru  (Chablis),Chardonnay,Domaine Pinson
France,"Rich and open, this is a generous, full-throated wine. There is a good contrast between the ripeness and a line of acidity that gives a steely, textured backbone. The end combines the two characters, a ripe, full aftertaste cut with a touch of steel. Drink from 2017.",Mont de Milieu Premier Cru,95,Burgundy,Roger Voss,@vossroger,Domaine Pinson 2013 Mont de Milieu Premier Cru  (Chablis),Chardonnay,Domaine Pinson
France,"From a domaine located in Gigondas, this is a profound Châteauneuf-du-Pape. Yes, there's some toasty oak on the nose, but underneath is a big, sturdy core of dark cherries, bay leaf and garrigue. This is a structured wine that's built for the cellar. Drink 2018–2030.",Habemus Papam,95,Rhône Valley,Joe Czerwinski,@JoeCz,Domaine Santa Duc 2012 Habemus Papam Red (Châteauneuf-du-Pape),Rhône-style Red Blend,Domaine Santa Duc
France,"The nose is heady and fragrant, edged with dried chamomile and hay flowers and subdued honey. Underneath that is a notion of sweet, luscious apricot compote. With time, there are the most subtle notes of enticing pine resin and fir honey—lit and illuminated all the way by the purest and most concentrated of lemon acidity. A triumph of balance and richness.",Rangen Grand Cru Clos Saint Théobald Sélection de Grains Nobles Larme de Lave,95,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Schoffit 2005 Rangen Grand Cru Clos Saint Théobald Sélection de Grains Nobles Larme de Lave Pinot Gris (Alsace),Pinot Gris,Domaine Schoffit
France,"A heady and lifted nose suggests healing herbs steeped in honey. The palate is rich and unctuous but fresh with the lemon peel, herb and clear honey notes that were already present on the nose. The balance between luscious and tart is on a knife's edge and all the more thrilling for it. The flavors last and last—not in sweetness but in utter, gloried freshness. Drink 2016–2040.",Rangen Grand Cru Clos Saint Théobald Sélection de Grains Nobles,95,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Schoffit 2006 Rangen Grand Cru Clos Saint Théobald Sélection de Grains Nobles Gewurztraminer (Alsace),Gewürztraminer,Domaine Schoffit
France,"The nose is still shy but already tells of tender sweetness. The palate has a rounded earthy smoky element that grounds the luscious generous fruit of dried pear and supersweet Reine Claude and mirabelle plums. The sweetness of this SGN is balanced and almost fresh, but the intriguing thing is a kind of smoky, dark and mysterious core of stone.",Clos Saint-Théobald Grand Cru Rangen Sélection de Grains Nobles Larme de Lave,95,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Schoffit 2007 Clos Saint-Théobald Grand Cru Rangen Sélection de Grains Nobles Larme de Lave Pinot Gris (Alsace),Pinot Gris,Domaine Schoffit
France,"Barley sugar, butterscotch, demerara sugar and the faintest hint of maple syrup suggest the richness of this SGN right away. The concentrated sweetness is countered with illuminating freshness and holds tons of tangy spice. Wow. This is incredibly concentrated and has an elixir-like bundled energy that seems to be alive. The effect is both mesmerizing and invigorating.",Clos Saint-Théobald Grand Cru Rangen Sélection de Grains Nobles,96,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Schoffit 2007 Clos Saint-Théobald Grand Cru Rangen Sélection de Grains Nobles Pinot Gris (Alsace),Pinot Gris,Domaine Schoffit
France,"The musky touch of botrytized fruit appears immediately, adding even more allure to the golden color. An explosion of golden apricot and luscious peach provide mouthfilling sweetness on the palate. All this is countered by very concentrated lemon freshness. This is not one of the tooth-achingly sweet SGNs—this is fresher and still has vivid fruit flavors. The finish has so much freshness it is lip-smacking. This will be a killer with fruit-centered desserts. Its sweetness-acid balance is of utter poise and a wonderful class act. Drink 2017–2050.",Clos Saint-Théobald Rangen Grand Cru Sélection de Grains Nobles,95,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Schoffit 2012 Clos Saint-Théobald Rangen Grand Cru Sélection de Grains Nobles Pinot Gris (Alsace),Pinot Gris,Domaine Schoffit
France,"The spicy, evocative scent of Seville orange peel entices from the first sniff. The palate is dry, restrained and sylph-like but with time reveals tangerine and lemon zest. This is a feast, a celebration of citrus flavors, unfolding and shimmering at every moment. This is dry but faceted, taut but playful. Irresistible now but with a brilliant, aromatic and totally seductive future ahead. Drink 2016–2030.",Rangen Grand Cru Clos Saint Théobald,95,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Schoffit 2014 Rangen Grand Cru Clos Saint Théobald Riesling (Alsace),Riesling,Domaine Schoffit
France,"The nose at first is all about aromatic orange zest but with a little more air there are lovely hints of jasmine and honeysuckle. The palate adds a judicious bitterness and counters this with residual sweetness. The counterpoint here is between texture and full fruit. This is incredibly powerful, as if some inner force was at work. This seems like a genie in a bottle—willful, driven and deliciously aromatic. The finish is off dry and long. Lovely now but sure to last. Drink 2017–2040.",Clos Saint-Théobald Rangen Grand Cru,95,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Schoffit 2015 Clos Saint-Théobald Rangen Grand Cru Muscat (Alsace),Muscat,Domaine Schoffit
France,"Right now this is still shy on the nose. There is a glint of pear peel and Mirabelle, plus a suggestion of smoke. The palate is equally shy as the principal sensation is that of wonderfully tangy texture, fresh concentrated acidity and balanced sweetness right now. This needs time to develop its undoubtedly rich flavors. The balance is impeccable. Immense power and lasting strength lie at the core of this monumental wine. This is made to last and should be given time in the cellar. Drink 2025–2050.",Clos Saint-Théobald Rangen Grand Cru Vendanges Tardives,96,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Schoffit 2015 Clos Saint-Théobald Rangen Grand Cru Vendanges Tardives Pinot Gris (Alsace),Pinot Gris,Domaine Schoffit
France,"The nose is still closed but already gives glimpses of citrus zestiness. The palate is a riot of both fresh and candied peel, think Seville orange, tangerine and Meyer lemon. The zesty freshness of the citrus fruit always has the upper hand on this energetic, exuberant late harvest wine and counters the residual sweetness perfectly. Killer acidity and utter concentration create a magnetic, delicious, age-worthy wine. The finish is off dry and refreshing, with a sweetish glint here and there. Drink 2017–2040 at least.",Clos Saint-Théobald Rangen Grand Cru Vendanges Tardives,96,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Schoffit 2015 Clos Saint-Théobald Rangen Grand Cru Vendanges Tardives Riesling (Alsace),Riesling,Domaine Schoffit
US,"A very elegant and refined Evenstad Reserve, with grace notes of sandalwood and a lovely cherry core. The fruit is immaculate, the concentration focused and lengthy, and the flavors are so artfully blended that the wine is seamless and perfectly balanced. Although it is drinking like a mature wine, there is every reason to cellar wines such as this—it can develop like a fine Burgundy, over decades.",Evenstad Reserve,95,Oregon,Paul Gregutt,@paulgwine ,Domaine Serene 2007 Evenstad Reserve Pinot Noir (Willamette Valley),Pinot Noir,Domaine Serene
US,"This is the winery's top Chardonnay, kept in bottle an extra year prior to release. Even in a challenging vintage such as 2011 it's a huge wine with astonishing concentration and power. The fruit has coiled intensity—so potent that it seems ready to burst wide open. Ripe apple and peach, olive oil, toasted almonds and plenty of new oak flavors abound. It's a jaw-dropper, and may be drunk now through 2022.",Récolte Grand Cru,96,Oregon,Paul Gregutt,@paulgwine ,Domaine Serene 2011 Récolte Grand Cru Chardonnay (Dundee Hills),Chardonnay,Domaine Serene
US,"This is a sensational vintage for this cuvée, which is part of the winery's extensive Chardonnay lineup. It offers intense fruit concentration and retains the opulence for which the winery is known. Rich in a buttered, toasted nut flavor, the mouthfeel is creamy and sensual. The finish lingers for several minutes, and the wine drinks as well or better on the second day it's been open.",Evenstad Reserve,95,Oregon,Paul Gregutt,@paulgwine ,Domaine Serene 2013 Evenstad Reserve Chardonnay (Dundee Hills),Chardonnay,Domaine Serene
France,"There is just a touch of peach amidst the green and yellow apple notes. The palate adds a stony earthy touch, as well as a hint of lanoline, and has an impressive core of fruit that radiates throughout this wine with pure apple flavor and crisp freshness. This strikes a high soprano note of absolute purity. The body is taut and bone-dry, the finish is clean and lasting. Gorgeous now but totally built to last. Drink now through 2035.",Osterberg Grand Cru,95,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Sipp-Mack 2014 Osterberg Grand Cru Riesling (Alsace),Riesling,Domaine Sipp-Mack
France,"This is the third vintage of a wine from a single parcel of ungrafted vines, produced in a walled vineyard within the ruins of the Sancerre city walls. The vines are a selection from the family's Les Romains vineyard. It cannot be labeled Sancerre because of the experimental methods used in its production. The wine is young, needing to age to develop its concentrated fruits and rich apple and apricot flavors. Tight and tense at this stage, it will develop slowly. Drink this rare wine from 2019.",L'Enclos des Remparts,96,France Other,Roger Voss,@vossroger,Domaine Vacheron 2014 L'Enclos des Remparts Sauvignon Blanc (Vin de France),Sauvignon Blanc,Domaine Vacheron
France,"Named in honor of the Romans who first planted vines in Sancerre, this wine has its feet firmly in the chalk soil that gives it richness as well as minerality. Ripe with touches of yellow fruits as well as lime and other citrus flavors, it is structured, dense and likely to age well. Drink from 2018.",Les Romains,95,Loire Valley,Roger Voss,@vossroger,Domaine Vacheron 2014 Les Romains  (Sancerre),Sauvignon Blanc,Domaine Vacheron
France,"From an organic parcel of vines, this floral and honey-flavored wine is superbly rich. The 12 months in wood adds spice and a touch of toast as well as giving the wine a delicious oxidative edge. It is an opulent wine, hinting at honey, with ripe melon and quince flavors. Drink this impressive wine from 2021.",Le Clos,95,Loire Valley,Roger Voss,@vossroger,Domaine Vincent Carême 2015 Le Clos  (Vouvray),Chenin Blanc,Domaine Vincent Carême
France,"Laurence Faller is the family winemaker at Domaine Weinbach, and this wine is a tribute to her skills. It is a wonderful blend of rich fruits, warm spice and tight acidity, with a finish that lasts and lasts in the mouth. It is a very fine wine, designed for aging, and would be best enjoyed after 2016.",Cuvée Laurence,95,Alsace,Roger Voss,@vossroger,Domaine Weinbach 2011 Cuvée Laurence Gewurztraminer (Alsace),Gewürztraminer,Domaine Weinbach
France,"This is, quite simply, great Riesling. It has all the subtlety that the grape can produce, as well as a sense of longevity. There's an intensity of fruit—apples and citrus—that cuts through the texture, leaving a beautiful, lingering aftertaste. Still young, drink from 2016.",Schlossberg Grand Cru,96,Alsace,Roger Voss,@vossroger,Domaine Weinbach 2011 Schlossberg Grand Cru Riesling (Alsace),Riesling,Domaine Weinbach
